,State,City,2018estimate,2010Census,Change,2016 land area,2016 land area.1,Unnamed: 0,DataValue
0,AL,Montgomery,198218,205764,−3.67%,159.8 sq mi,413.9 km2,50,"39,060"
1,AL,Mobile,189572,195111,−2.84%,139.4 sq mi,361.0 km2,48,"34,661"
2,AL,Tuscaloosa,101113,90468,+11.77%,71.7 sq mi,185.7 km2,62,"35,365"
3,CA,Los Angeles,3990456,3792621,+5.22%,468.7 sq mi,"1,213.9 km2",228,"52,233"
4,CA,San Diego,1425976,1307402,+9.07%,325.2 sq mi,842.3 km2,246,"52,214"
5,CA,San Francisco,883305,805235,+9.70%,46.9 sq mi,121.5 km2,247,"99,990"
6,CA,Fresno,530093,494665,+7.16%,114.4 sq mi,296.3 km2,219,"37,434"
7,CA,Sacramento,508529,466488,+9.01%,97.9 sq mi,253.6 km2,243,"45,187"
8,CA,Riverside,330063,303871,+8.62%,81.2 sq mi,210.3 km2,242,"34,753"
9,CA,San Bernardino,215941,209924,+2.87%,61.5 sq mi,159.3 km2,245,"34,320"
10,CA,Orange,139484,136416,+2.25%,25.4 sq mi,65.8 km2,239,"57,165"
11,CA,Santa Clara,129488,116468,+11.18%,18.4 sq mi,47.7 km2,252,"79,055"
12,CA,Ventura,111128,106433,+4.41%,21.8 sq mi,56.5 km2,265,"53,031"
13,CA,San Mateo,105025,97207,+8.04%,12.1 sq mi,31.3 km2,250,"93,765"
14,CO,Denver,716492,600158,+19.38%,153.3 sq mi,397.0 km2,284,"68,046"
15,CO,Pueblo,111750,106595,+4.84%,53.6 sq mi,138.8 km2,319,"33,932"
16,CT,New Haven,130418,129779,+0.49%,18.7 sq mi,48.4 km2,336,"50,286"
17,CT,Hartford,122587,124775,−1.75%,17.4 sq mi,45.1 km2,333,"57,564"
18,GA,Macon,153095,91351,+67.59%,249.3 sq mi,645.7 km2,506,"28,018"
19,HI,Honolulu,347397,337256,+3.01%,60.5 sq mi,156.7 km2,571,"50,988"
20,ID,Boise,228790,205671,+11.24%,82.1 sq mi,212.6 km2,581,"36,229"
21,IL,Peoria,111388,115007,−3.15%,48.2 sq mi,124.8 km2,689,"46,148"
22,IA,Des Moines,216853,203433,+6.60%,88.9 sq mi,230.2 km2,840,"46,007"
23,KS,Wichita,389255,382368,+1.80%,160.4 sq mi,415.4 km2,1012,"83,074"
24,LA,Lafayette,126143,120623,+4.58%,53.8 sq mi,139.3 km2,1163,"53,215"
25,MD,Baltimore,602495,620961,−2.97%,80.9 sq mi,209.5 km2,1218,"53,832"
26,MA,Worcester,185877,181045,+2.67%,37.4 sq mi,96.9 km2,1253,"49,121"
27,MI,Clinton,100800,96796,+4.14%,28.1 sq mi,72.8 km2,1272,"39,611"
28,MS,Jackson,164422,173514,−5.24%,111.0 sq mi,287.5 km2,1453,"34,845"
29,MO,St. Louis,302838,319294,−5.15%,62.0 sq mi,160.6 km2,1601,"61,078"
30,NE,Lincoln,287401,258379,+11.23%,92.1 sq mi,238.5 km2,1732,"46,012"
31,NY,New York,8398748,8175133,+2.74%,301.5 sq mi,780.9 km2,1881,"151,128"
32,NC,Durham,274291,228330,+20.13%,109.8 sq mi,284.4 km2,1944,"43,817"
33,OK,Tulsa,400669,391906,+2.24%,196.8 sq mi,509.7 km2,2225,"71,431"
34,PA,Philadelphia,1584138,1526006,+3.81%,134.2 sq mi,347.6 km2,2317,"49,341"
35,RI,Providence,179335,178042,+0.73%,18.4 sq mi,47.7 km2,2337,"42,740"
36,SC,Charleston,136208,120083,+13.43%,109.0 sq mi,282.3 km2,2348,"50,970"
37,TX,Houston,2325502,2100263,+10.72%,637.5 sq mi,"1,651.1 km2",2658,"33,759"
38,TX,Dallas,1345047,1197816,+12.29%,340.9 sq mi,882.9 km2,2602,"51,830"
39,TX,Austin,964254,790390,+22.00%,312.7 sq mi,809.9 km2,2553,"49,031"
40,TX,El Paso,682669,649121,+5.17%,256.8 sq mi,665.1 km2,2616,"31,731"
41,TX,Lubbock,255885,229573,+11.46%,124.6 sq mi,322.7 km2,2697,"38,807"
42,TX,Midland,142344,111147,+28.07%,74.4 sq mi,192.7 km2,2710,"119,448"
43,TX,Denton,138541,113383,+22.19%,93.4 sq mi,241.9 km2,2606,"48,827"
44,TX,Tyler,105729,96900,+9.11%,56.6 sq mi,146.6 km2,2774,"29,980"
45,VA,Richmond,228783,204214,+12.03%,59.8 sq mi,154.9 km2,2903,"32,032"
46,WA,Spokane,219190,208916,+4.92%,68.7 sq mi,177.9 km2,2979,"40,028"
47,WI,Milwaukee,592025,594833,−0.47%,96.2 sq mi,249.2 km2,3082,"42,118"
48,WI,Kenosha,100164,99218,+0.95%,28.0 sq mi,72.5 km2,3071,"40,171"
